# nodes: 86
# edges: 106
average degree: 3.5697674418604652
average edge size: 2.0377358490566038

seed vertex	conductance	time taken (seconds)

62	0.047619047619047616	0.044
70	0.047619047619047616	0.018
66	0.0898876404494382	0.016
48	0.09558823529411764	0.017
17	0.058823529411764705	0.02
77	0.050359712230215826	0.018
38	0.058823529411764705	0.02
84	0.047619047619047616	0.022
23	0.09558823529411764	0.014
25	0.09558823529411764	0.013
40	0.07092198581560284	0.012
54	0.047619047619047616	0.012
2	0.0625	0.013
74	0.043478260869565216	0.014
85	0.047619047619047616	0.012
58	0.047619047619047616	0.013
27	0.09558823529411764	0.014
72	0.043478260869565216	0.016
60	0.07092198581560284	0.013
45	0.10256410256410256	0.012
80	0.047619047619047616	0.013
59	0.07092198581560284	0.012
47	0.0898876404494382	0.011
6	0.058823529411764705	0.012
16	0.058823529411764705	0.012
55	0.047619047619047616	0.012
65	0.047619047619047616	0.012
32	0.047619047619047616	0.014
29	0.125	0.011
82	0.043478260869565216	0.011
43	0.0738255033557047	0.011
61	0.047619047619047616	0.011
10	0.10738255033557047	0.011
78	0.047619047619047616	0.011
68	0.047619047619047616	0.012
28	0.10457516339869281	0.011
39	0.07092198581560284	0.011
12	0.07801418439716312	0.011
19	0.058823529411764705	0.015
35	0.125	0.011
53	0.050359712230215826	0.011
41	0.07092198581560284	0.012
75	0.043478260869565216	0.012
63	0.043478260869565216	0.012
73	0.043478260869565216	0.012
18	0.058823529411764705	0.012
7	0.058823529411764705	0.011
14	0.07333333333333333	0.012
71	0.07092198581560284	0.011
56	0.047619047619047616	0.012


Conductance
0.047619047619047616, 0.047619047619047616, 0.0898876404494382, 0.09558823529411764, 0.058823529411764705, 0.050359712230215826, 0.058823529411764705, 0.047619047619047616, 0.09558823529411764, 0.09558823529411764, 0.07092198581560284, 0.047619047619047616, 0.0625, 0.043478260869565216, 0.047619047619047616, 0.047619047619047616, 0.09558823529411764, 0.043478260869565216, 0.07092198581560284, 0.10256410256410256, 0.047619047619047616, 0.07092198581560284, 0.0898876404494382, 0.058823529411764705, 0.058823529411764705, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.125, 0.043478260869565216, 0.0738255033557047, 0.047619047619047616, 0.10738255033557047, 0.047619047619047616, 0.047619047619047616, 0.10457516339869281, 0.07092198581560284, 0.07801418439716312, 0.058823529411764705, 0.125, 0.050359712230215826, 0.07092198581560284, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.058823529411764705, 0.058823529411764705, 0.07333333333333333, 0.07092198581560284, 0.047619047619047616, 

time taken (seconds)
0.044, 0.018, 0.016, 0.017, 0.02, 0.018, 0.02, 0.022, 0.014, 0.013, 0.012, 0.012, 0.013, 0.014, 0.012, 0.013, 0.014, 0.016, 0.013, 0.012, 0.013, 0.012, 0.011, 0.012, 0.012, 0.012, 0.012, 0.014, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.012, 0.011, 0.011, 0.011, 0.015, 0.011, 0.011, 0.012, 0.012, 0.012, 0.012, 0.012, 0.011, 0.012, 0.011, 0.012, 
