# nodes: 253968
# edges: 4934
average degree: 1.8046525546525547
average edge size: 92.83887312525334

seed vertex	conductance	time taken (seconds)

184442	0.0033504961988136957	1.944
207574	0.00011599582415033058	2.008
195053	0.003731212862635442	2.282
141755	0.0038357479490312447	2.015
52325	0.0004104247896572953	2.125
141938	0.0009302325581395349	2.187
230101	0.0028169014084507044	2.282
112299	0.0002068680182043856	2.01
248266	0.003643726463054359	2.072
69512	0.00011133377866844801	2.046
74134	0.001002004008016032	2.126
118682	0.0002068680182043856	2.315
160675	0.0038200803353278757	2.168
119240	0.0037965403480598368	2.105
249434	0.0034779041809033825	2.038
7712	0.00196078431372549	2.12
219014	0.0036190600921135923	2.382
252786	0.004067027404433584	1.954
171982	0.004333179148375385	2.161
79896	0.0007251631617113851	2.116
207468	0.00011599582415033058	1.985
215378	0.0028957528957528956	2.181
251911	0.0035661062577298413	1.878
8285	0.004115082672578188	2.032
177762	0.0005107252298263534	2.067
133659	0.0009891196834817012	2.008
237210	0.0033144811258713665	2.094
174633	0.003807431329468548	2.048
138873	0.0004095004095004095	2.058
20599	0.00377513300251821	2.154
47523	0.002229654403567447	1.932
115130	0.0002068680182043856	2.153
75472	0.004071391167743061	2.212
251058	0.004032082107853833	2.084
163224	0.002663115845539281	2.402
193768	0.0033566744470379015	2.428
7719	0.00196078431372549	2.071
96762	0.0014396775122372588	1.992
87147	0.003988444855604332	2.233
243162	0.003654622857766619	2.096
128286	0.0001444043321299639	2.106
181834	0.002386634844868735	2.224
30211	0.003957898779029682	2.37
69447	0.0006269592476489029	2.132
230373	0.0036088165089173114	2.291
201845	0.00011599582415033058	2.292
85627	0.004747733044745638	2.206
116116	0.0002068680182043856	2.101
37288	0.004036481061267237	2.147
56206	0.00020859407592824363	1.997


Conductance
0.0033504961988136957, 0.00011599582415033058, 0.003731212862635442, 0.0038357479490312447, 0.0004104247896572953, 0.0009302325581395349, 0.0028169014084507044, 0.0002068680182043856, 0.003643726463054359, 0.00011133377866844801, 0.001002004008016032, 0.0002068680182043856, 0.0038200803353278757, 0.0037965403480598368, 0.0034779041809033825, 0.00196078431372549, 0.0036190600921135923, 0.004067027404433584, 0.004333179148375385, 0.0007251631617113851, 0.00011599582415033058, 0.0028957528957528956, 0.0035661062577298413, 0.004115082672578188, 0.0005107252298263534, 0.0009891196834817012, 0.0033144811258713665, 0.003807431329468548, 0.0004095004095004095, 0.00377513300251821, 0.002229654403567447, 0.0002068680182043856, 0.004071391167743061, 0.004032082107853833, 0.002663115845539281, 0.0033566744470379015, 0.00196078431372549, 0.0014396775122372588, 0.003988444855604332, 0.003654622857766619, 0.0001444043321299639, 0.002386634844868735, 0.003957898779029682, 0.0006269592476489029, 0.0036088165089173114, 0.00011599582415033058, 0.004747733044745638, 0.0002068680182043856, 0.004036481061267237, 0.00020859407592824363, 

time taken (seconds)
1.944, 2.008, 2.282, 2.015, 2.125, 2.187, 2.282, 2.01, 2.072, 2.046, 2.126, 2.315, 2.168, 2.105, 2.038, 2.12, 2.382, 1.954, 2.161, 2.116, 1.985, 2.181, 1.878, 2.032, 2.067, 2.008, 2.094, 2.048, 2.058, 2.154, 1.932, 2.153, 2.212, 2.084, 2.402, 2.428, 2.071, 1.992, 2.233, 2.096, 2.106, 2.224, 2.37, 2.132, 2.291, 2.292, 2.206, 2.101, 2.147, 1.997, 
