# nodes: 158385
# edges: 9827
average degree: 1.4049057675916279
average edge size: 22.511651572199042

seed vertex	conductance	time taken (seconds)

115026	0.007692307692307693	0.699
129452	0.011494252873563218	0.796
121643	0.014285714285714285	0.713
88404	0.0060790273556231	0.808
32632	0.00021244954323348204	0.718
88518	0.00904977375565611	0.768
143501	0.019362114855415707	0.753
70034	0.010256410256410256	0.789
154829	0.018102069064696472	0.775
43350	0.016327376981193315	0.771
46233	0.0056179775280898875	0.745
74015	0.013333333333333334	0.752
100203	0.0020964360587002098	0.688
74363	0.0017699115044247787	0.789
155558	0.01670906100290319	0.676
4809	0.0004083299305839118	0.801
136586	0.015252835751136997	0.713
157648	0.01815599777094681	0.789
107255	0.006756756756756757	0.736
49826	0.0004017677782241864	0.814
129385	0.017481888942817596	0.696
134318	0.010526315789473684	0.809
157102	0.006067961165048544	0.711
5167	0.0004083299305839118	0.858
110860	0.007194244604316547	0.741
83355	0.0017513134851138354	0.785
147934	0.016160635639684336	0.805
108908	0.001984126984126984	0.767
86607	0.004901960784313725	0.814
12846	0.00039952057530962844	0.697
29637	0.000693000693000693	0.741
71800	0.0036231884057971015	0.775
47067	0.0022471910112359553	0.704
156570	0.011235955056179775	0.773
101793	0.019189631307411602	0.71
120841	0.014084507042253521	0.776
4814	0.0004083299305839118	0.698
60345	0.0007320644216691069	0.785
54348	0.0006119951040391676	0.742
151646	0.013157894736842105	0.695
80004	0.0007874015748031496	0.711
113399	0.016340222919597445	0.756
18841	0.01635203164329378	0.714
43310	0.006019261637239166	0.717
143670	0.00684931506849315	0.757
125878	0.009174311926605505	0.829
53401	0.001584786053882726	0.69
72415	0.0017825311942959	0.814
23254	0.016867123053533998	0.781
35052	0.007939739413680782	0.796


Conductance
0.007692307692307693, 0.011494252873563218, 0.014285714285714285, 0.0060790273556231, 0.00021244954323348204, 0.00904977375565611, 0.019362114855415707, 0.010256410256410256, 0.018102069064696472, 0.016327376981193315, 0.0056179775280898875, 0.013333333333333334, 0.0020964360587002098, 0.0017699115044247787, 0.01670906100290319, 0.0004083299305839118, 0.015252835751136997, 0.01815599777094681, 0.006756756756756757, 0.0004017677782241864, 0.017481888942817596, 0.010526315789473684, 0.006067961165048544, 0.0004083299305839118, 0.007194244604316547, 0.0017513134851138354, 0.016160635639684336, 0.001984126984126984, 0.004901960784313725, 0.00039952057530962844, 0.000693000693000693, 0.0036231884057971015, 0.0022471910112359553, 0.011235955056179775, 0.019189631307411602, 0.014084507042253521, 0.0004083299305839118, 0.0007320644216691069, 0.0006119951040391676, 0.013157894736842105, 0.0007874015748031496, 0.016340222919597445, 0.01635203164329378, 0.006019261637239166, 0.00684931506849315, 0.009174311926605505, 0.001584786053882726, 0.0017825311942959, 0.016867123053533998, 0.007939739413680782, 

time taken (seconds)
0.699, 0.796, 0.713, 0.808, 0.718, 0.768, 0.753, 0.789, 0.775, 0.771, 0.745, 0.752, 0.688, 0.789, 0.676, 0.801, 0.713, 0.789, 0.736, 0.814, 0.696, 0.809, 0.711, 0.858, 0.741, 0.785, 0.805, 0.767, 0.814, 0.697, 0.741, 0.775, 0.704, 0.773, 0.71, 0.776, 0.698, 0.785, 0.742, 0.695, 0.711, 0.756, 0.714, 0.717, 0.757, 0.829, 0.69, 0.814, 0.781, 0.796, 
