# nodes: 86
# edges: 106
average degree: 3.5697674418604652
average edge size: 2.0377358490566038

seed vertex	conductance	time taken (seconds)

62	0.08333333333333333	0.017
70	0.09090909090909091	0.013
66	0.13043478260869565	0.014
48	0.14285714285714285	0.013
17	0.10714285714285714	0.013
77	0.125	0.012
38	0.10714285714285714	0.012
84	0.05555555555555555	0.011
23	0.14285714285714285	0.014
25	0.14285714285714285	0.015
40	0.07692307692307693	0.016
54	0.05555555555555555	0.015
2	0.0625	0.013
74	0.043478260869565216	0.013
85	0.09090909090909091	0.011
58	0.09090909090909091	0.02
27	0.14285714285714285	0.016
72	0.043478260869565216	0.013
60	0.07692307692307693	0.012
45	0.13043478260869565	0.014
80	0.05555555555555555	0.013
59	0.07692307692307693	0.012
47	0.13043478260869565	0.013
6	0.13793103448275862	0.013
16	0.10714285714285714	0.012
55	0.23809523809523808	0.013
65	0.043478260869565216	0.012
32	0.2	0.013
29	0.20689655172413793	0.012
82	0.043478260869565216	0.011
43	0.043478260869565216	0.014
61	0.08333333333333333	0.015
10	0.2222222222222222	0.016
78	0.05555555555555555	0.014
68	0.05555555555555555	0.014
28	0.25	0.015
39	0.07692307692307693	0.013
12	0.10714285714285714	0.013
19	0.10714285714285714	0.012
35	0.20689655172413793	0.013
53	0.125	0.013
41	0.07692307692307693	0.012
75	0.043478260869565216	0.012
63	0.043478260869565216	0.013
73	0.043478260869565216	0.012
18	0.10714285714285714	0.013
7	0.10714285714285714	0.013
14	0.13793103448275862	0.013
71	0.07692307692307693	0.011
56	0.09090909090909091	0.013


Conductance
0.08333333333333333, 0.09090909090909091, 0.13043478260869565, 0.14285714285714285, 0.10714285714285714, 0.125, 0.10714285714285714, 0.05555555555555555, 0.14285714285714285, 0.14285714285714285, 0.07692307692307693, 0.05555555555555555, 0.0625, 0.043478260869565216, 0.09090909090909091, 0.09090909090909091, 0.14285714285714285, 0.043478260869565216, 0.07692307692307693, 0.13043478260869565, 0.05555555555555555, 0.07692307692307693, 0.13043478260869565, 0.13793103448275862, 0.10714285714285714, 0.23809523809523808, 0.043478260869565216, 0.2, 0.20689655172413793, 0.043478260869565216, 0.043478260869565216, 0.08333333333333333, 0.2222222222222222, 0.05555555555555555, 0.05555555555555555, 0.25, 0.07692307692307693, 0.10714285714285714, 0.10714285714285714, 0.20689655172413793, 0.125, 0.07692307692307693, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.10714285714285714, 0.10714285714285714, 0.13793103448275862, 0.07692307692307693, 0.09090909090909091, 

time taken (seconds)
0.017, 0.013, 0.014, 0.013, 0.013, 0.012, 0.012, 0.011, 0.014, 0.015, 0.016, 0.015, 0.013, 0.013, 0.011, 0.02, 0.016, 0.013, 0.012, 0.014, 0.013, 0.012, 0.013, 0.013, 0.012, 0.013, 0.012, 0.013, 0.012, 0.011, 0.014, 0.015, 0.016, 0.014, 0.014, 0.015, 0.013, 0.013, 0.012, 0.013, 0.013, 0.012, 0.012, 0.013, 0.012, 0.013, 0.013, 0.013, 0.011, 0.013, 
