# nodes: 86
# edges: 106
average degree: 3.5697674418604652
average edge size: 2.0377358490566038

seed vertex	conductance	time taken (seconds)

62	0.047619047619047616	0.026
70	0.047619047619047616	0.024
66	0.13043478260869565	0.031
48	0.13513513513513514	0.022
17	0.06474820143884892	0.023
77	0.08	0.021
38	0.06474820143884892	0.02
84	0.047619047619047616	0.02
23	0.13513513513513514	0.023
25	0.13513513513513514	0.021
40	0.11224489795918367	0.023
54	0.047619047619047616	0.026
2	0.0625	0.022
74	0.043478260869565216	0.027
85	0.047619047619047616	0.028
58	0.047619047619047616	0.027
27	0.13513513513513514	0.024
72	0.043478260869565216	0.022
60	0.07692307692307693	0.021
45	0.10256410256410256	0.021
80	0.047619047619047616	0.02
59	0.07692307692307693	0.02
47	0.13043478260869565	0.023
6	0.06474820143884892	0.021
16	0.06474820143884892	0.02
55	0.047619047619047616	0.021
65	0.047619047619047616	0.021
32	0.047619047619047616	0.021
29	0.12	0.021
82	0.043478260869565216	0.019
43	0.08275862068965517	0.021
61	0.047619047619047616	0.021
10	0.08771929824561403	0.022
78	0.047619047619047616	0.019
68	0.047619047619047616	0.02
28	0.11290322580645161	0.021
39	0.11224489795918367	0.02
12	0.06535947712418301	0.021
19	0.06474820143884892	0.022
35	0.12	0.021
53	0.08	0.021
41	0.07692307692307693	0.02
75	0.043478260869565216	0.019
63	0.043478260869565216	0.019
73	0.043478260869565216	0.019
18	0.06474820143884892	0.021
7	0.06474820143884892	0.02
14	0.08108108108108109	0.021
71	0.07692307692307693	0.022
56	0.047619047619047616	0.022


Conductance
0.047619047619047616, 0.047619047619047616, 0.13043478260869565, 0.13513513513513514, 0.06474820143884892, 0.08, 0.06474820143884892, 0.047619047619047616, 0.13513513513513514, 0.13513513513513514, 0.11224489795918367, 0.047619047619047616, 0.0625, 0.043478260869565216, 0.047619047619047616, 0.047619047619047616, 0.13513513513513514, 0.043478260869565216, 0.07692307692307693, 0.10256410256410256, 0.047619047619047616, 0.07692307692307693, 0.13043478260869565, 0.06474820143884892, 0.06474820143884892, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.12, 0.043478260869565216, 0.08275862068965517, 0.047619047619047616, 0.08771929824561403, 0.047619047619047616, 0.047619047619047616, 0.11290322580645161, 0.11224489795918367, 0.06535947712418301, 0.06474820143884892, 0.12, 0.08, 0.07692307692307693, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.06474820143884892, 0.06474820143884892, 0.08108108108108109, 0.07692307692307693, 0.047619047619047616, 

time taken (seconds)
0.026, 0.024, 0.031, 0.022, 0.023, 0.021, 0.02, 0.02, 0.023, 0.021, 0.023, 0.026, 0.022, 0.027, 0.028, 0.027, 0.024, 0.022, 0.021, 0.021, 0.02, 0.02, 0.023, 0.021, 0.02, 0.021, 0.021, 0.021, 0.021, 0.019, 0.021, 0.021, 0.022, 0.019, 0.02, 0.021, 0.02, 0.021, 0.022, 0.021, 0.021, 0.02, 0.019, 0.019, 0.019, 0.021, 0.02, 0.021, 0.022, 0.022, 
